index,id,area,both1990,both1995,both2000,both2005,both2010,both2015,both2020,male1990,male1995,male2000,male2005,male2010,male2015,male2020,female1990,female1995,female2000,female2005,female2010,female2015,female2020
113,VNM,Viet Nam,28118,51262,56754,51768,61756,72793,76767,15230,28187,32825,31106,35971,42168,44471,12888,23075,23929,20662,25785,30625,32296
114,,Southern Asia,19537940,15343019,14950743,13618667,14411845,13873473,13863534,10283173,7987547,7798733,6981986,7326556,7007526,7042488,9254767,7355472,7152010,6636681,7085289,6865947,6821046
115,AFG,Afghanistan,57686,71522,75917,87314,102276,339432,144098,32558,39105,42848,49281,57726,171550,69189,25128,32417,33069,38033,44550,167882,74909
116,BGD,Bangladesh,881617,934735,987853,1062270,1345546,1422179,2115408,476097,503989,531907,572146,710548,751741,1093978,405520,430746,455946,490124,634998,670438,1021430
117,BTN,Bhutan,23807,27972,32137,40279,48420,51106,53612,19409,22804,26200,32742,39283,43396,45524,4398,5168,5937,7537,9137,7710,8088
118,IND,India,7594801,6952238,6411331,5936740,5574018,5210847,4878704,3967470,3608978,3303591,2931489,2699495,2474515,2273912,3627331,3343260,3107740,3005251,2874523,2736332,2604792
119,IRN,Iran (Islamic Republic of),4291601,2937668,2476469,2552206,2722397,2729939,2797235,2369093,1612428,1365390,1401736,1490419,1487403,1517518,1922508,1325240,1111079,1150470,1231978,1242536,1279717
120,MDV,Maldives,8689,18510,27092,45045,54659,64273,70079,4777,9243,14907,27079,41712,56345,61437,3912,9267,12185,17966,12947,7928,8642
121,NPL,Nepal,429974,690225,717900,680729,581889,509471,487564,125966,217088,241959,235852,191167,156361,146930,304008,473137,475941,444877,390722,353110,340634
122,PAK,Pakistan,6208204,3669308,4181912,3174558,3943681,3506520,3276580,3264380,1951223,2249960,1710343,2075512,1845470,1812804,2943824,1718085,1931952,1464215,1868169,1661050,1463776
123,LKA,Sri Lanka,41561,40841,40132,39526,38959,39706,40254,23423,22689,21971,21318,20694,20745,21196,18138,18152,18161,18208,18265,18961,19058
124,,Western Asia,15205444,16830424,18420949,21416086,30686394,39897174,46599820,8906428,9941901,11003367,13252419,20004053,25846271,30148030,6299016,6888523,7417582,8163667,10682341,14050903,16451790
125,ARM,Armenia,658789,693999,657900,469189,211147,191199,190349,270535,284995,270170,191432,85669,77436,78085,388254,409004,387730,277757,125478,113763,112264
126,AZE,Azerbaijan*,360600,344070,327540,301834,276901,264359,252228,157856,149509,141161,135143,129512,126656,121007,202744,194561,186379,166691,147389,137703,131221
127,BHR,Bahrain,173212,205979,239361,404018,666406,722487,936094,122730,144227,165344,288614,481344,529546,694238,50482,61752,74017,115404,185062,192941,241856
128,CYP,Cyprus*,43805,61941,80076,122849,188472,176693,190366,20463,27604,34745,53532,82477,77357,85679,23342,34337,45331,69317,105995,99336,104687
129,GEO,Georgia*,304470,152235,76117,71296,73078,76685,79368,133285,66643,33321,31215,31993,33570,34879,171185,85592,42796,40081,41085,43115,44489
130,IRQ,Iraq,83638,199460,210525,134863,120466,359352,365766,55751,114821,120464,81877,74535,209217,201427,27887,84639,90061,52986,45931,150135,164339
131,ISR,Israel,1632704,1792185,1851309,1889503,1956190,2011727,1953575,770777,830330,853712,867805,892887,912899,886517,861927,961855,997597,1021698,1063303,1098828,1067058
132,JOR,Jordan,1146349,1537097,1927845,2198740,2786853,3166961,3457691,586473,784725,982977,1119171,1416784,1594808,1756637,559876,752372,944868,1079569,1370069,1572153,1701054
133,KWT,Kuwait,1074391,921954,1127640,1333530,1874812,2866136,3110159,654878,591452,761512,918718,1312111,1901855,2063430,419513,330502,366128,414812,562701,964281,1046729
134,LBN,Lebanon,523693,608303,692913,742243,793191,1916259,1712762,267922,310613,353305,382830,413057,921661,839706,255771,297690,339608,359413,380134,994598,873056
135,OMN,Oman,304000,539643,623608,666164,816234,1856226,2372836,242477,417444,488389,527845,658753,1552000,1984025,61523,122199,135219,138319,157481,304226,388811
136,QAT,Qatar,309753,361673,359697,646026,1456413,1687640,2226192,225932,269972,274242,498428,1206571,1416361,1842785,83821,91701,85455,147598,249842,271279,383407
137,SAU,Saudi Arabia,4998445,5122702,5263387,6501819,8429956,10771366,13454842,3324873,3416485,3517768,4469805,5933281,7461502,9235130,1673572,1706217,1745619,2032014,2496675,3309864,4219712
138,PSE,State of Palestine*,288332,281767,275202,274520,273840,273163,272784,132101,128328,124555,124608,124660,124710,124737,156231,153439,150647,149912,149180,148453,148047
139,SYR,Syrian Arab Republic,714140,830610,834916,882398,1783595,835716,868711,364077,423115,427981,452524,910982,426967,432279,350063,407495,406935,429874,872613,408749,436432
140,TUR,Turkey,1163686,1216173,1280963,1324108,1373749,4346197,6052652,577329,593938,616007,621694,629868,2390166,3124165,586357,622235,664956,702414,743881,1956031,2928487
141,ARE,United Arab Emirates,1306574,1824118,2447010,3281115,7316697,7995126,8716332,931959,1309868,1757200,2388299,5463446,5890170,6419792,374615,514250,689810,892816,1853251,2104956,2296540
142,YEM,Yemen,118863,136515,144940,171871,288394,379882,387113,67010,77832,80514,98879,156123,199390,223512,51853,58683,64426,72992,132271,180492,163601
